pos_in_ihya,pos_in_qut,matched_sentence
page:1,page:1,(١) بسم الله الرحمن الرحيم
page:1,page:1,فنقول بسم الله الرحمن الرحيم
page:1,page:1,الدين بسم الله الرحمن الرحيم
page:1,page:1,وقال بعض العارفين لو عرضت علي الشهادة عند باب الدار والموت على التوحيد
page:1,page:1,اصبر نكن بك صابرين فإنما
page:1,page:1,صبر الرعية بعد صبر الراس
page:1,page:1,وروى عن مسروق أن نبياً من الأنبياء كان ساجدا فوطىء عنقه بعض العصاة حتى ألزق الحصى بجبهته قال فرفع النبي عليه الصلاة والسلام رأسه مغضبا فقال اذهب فلن يغفر الله لك فأوحى الله تعالى إليه تتألى على في عبادي إني قد غفرت له
page:1,page:1,وروي أنه سمع رجلاً يذم الحجاج ويقع فيه فقال أرأيت لو كان الحجاج حاضرا أكنت تتكلم بما تكلمت به قال لا
page:1,page:1,فلا الحمد في ذا ولا ذاك لي
page:1,page:1,ومن بعد هذا ما تدق صفاته
page:1,page:1,وما كتمه أولى لديه وأعدل
page:1,page:1,ولديه من تحف الحبيب وسائل
page:1,page:1,طوع الحبيب وإن ألح العاذل
page:1,page:1,ومن الدلائل أن يرى متبسماً
page:1,page:1,والقلب فيه من الحبيب بلابل
page:1,page:1,ومن الدلائل أن يرى متفهماً
page:1,page:1,لكلام من يحظى لديه السائل
page:1,page:1,ومن الدلائل أن يرى متقشفاً
page:1,page:1,متحفظاً من كل ما هو قائل
page:1,page:1,ومن الدلائل أن تراه مشمراً
page:1,page:1,في خرقتين على شطوط الساحل
page:1,page:1,جوف الظلام فما له من عاذل
page:1,page:1,ومن الدلائل أن تراه مسافراً
page:1,page:1,ومن الدلائل زهده فيما يرى
page:1,page:1,من دار ذل والنعيم الزائل
page:1,page:1,ومن الدلائل أن تراه باكياً
page:1,page:1,أن قد رآه على قبيح فعائل
page:1,page:1,ومن االدلائل أن تراه مسلماً
page:1,page:1,كل الأمور إلى المليك العادل
page:1,page:1,ومن الدلائل أن تراه راضياً
page:1,page:1,ومن الدلائل ضحكه بين الورى
page:1,page:1,والقلب محزون كقلب الثاكل
page:1,page:1,الأنس بالله لا يحويه بطال
page:1,page:1,وإن أراد أن يزيد أتى بالصلاة المأثورة فقال اللهم اجعل فضائل صلواتك ونوامي بركاتك وشرائف زكواتك ورأفتك ورحمتك وتحيتك على محمد سيد المرسلين وإمام المتقين وخاتم النبيين ورسول رب العالمين قائد الخير وفاتح البر ونبي الرحمة وسيد الأمة اللهم ابعثه مقاماً محموداً تزلف به قربه وتقر به عينه يغبطه به الأولون وألاخرون اللهم أعطه الفضل والفضيلة والشرف والوسيلة والدرجة الرفيعة والمنزلة الشامخة المنيفة اللهم أعط محمداً سؤله وبلغه مأموله واجعله أول شافع وأول مشفع اللهم عظم برهانه وثقل ميزانه وأبلج حجته وارفع في أعلى المقربين درجته اللهم احشرنا في زمرته واجعلنا من أهل شفاعته وأحينا على سنته وتوفنا على ملته
page:1,page:1,قال فإني أكافئك بها يوم القيامة آخذ بيدك في الموقف فأدخلك الجنة والخلائق في كرب الحساب
page:1,page:1,لو كنت بواباً على باب جنة
page:1,page:1,خذي العفو مني تستديمي مودتي
page:1,page:1,ولا تنطقي في سورتي حين أغضب
page:1,page:1,ولا تنقريني نقرك الدف مرة
page:1,page:1,فإنك لا تدرين كيف المغيب
page:1,page:1,فإني رأيت الحب في القلب والأذى
page:1,page:1,إذا اجتمعا لم يلبث الحب يذهب
page:1,page:1,فلن أزال على الزوراء أغمرها
page:1,page:1,إِنَّ أَخَاكَ الْحَقَّ مَنْ كَانَ مَعَكَ
page:1,page:1,وَمَنْ يَضُرُّ نَفْسَهُ لِيَنْفَعَكَ
page:1,page:1,وَمَنْ إِذَا رَيْبُ زَمَانٍ صَدَّعَكَ
page:1,page:1,الناس شتى إذا ما أنت ذقتهم
page:1,page:1,لا يستوون كما لا يستوي الشجر
page:1,page:1,ومستودعي سراً تبوأت كتمه
page:1,page:1,وما السر في صدري كثاو بقبره
page:1,page:1,لأني أرى المقبور ينتظر النشرا
page:1,page:1,بما كان منه لم أحط ساعة خبرا
page:1,page:1,ولو جاز كتم السر بيني وبينه
page:1,page:1,يخفي القبيح ويظهر الإحسانا
page:1,page:1,يخفي الجميل ويظهر البهتانا
page:1,page:1,وأعرض عن شتم اللئيم تكرما
page:1,page:1,أبداً وليس طلاق ذات البين
page:1,page:1,وإن امتنعت شفعتها بمثالها
page:1,page:1,وإذا الثلاث أتتك مني بتة
page:1,page:1,لم تغن عنك ولاية السيبين
page:1,page:1,وَجَدْتُ مُصِيبَاتِ الزَّمَانِ جَمِيعَهَا
page:1,page:1,ل على الأصدقاء يرى الفضل له
page:1,page:1,صار أحظى من الصديق العتيق
page:1,page:1,صار عندي هو الصديق الحقيقي
page:1,page:1,ما الفخر إلا لأهل العلم إنهم
page:1,page:1,على الهدى لمن استهدى أدلاء
page:1,page:1,والجاهلون لأهل العلم أعداء
page:1,page:1,الطرق شتى وطرق الحق مفردة
page:1,page:1,والسالكون طريق الحق أفراد
page:1,page:1,والناس في غفلة عما يراد بهم
page:1,page:1,ويكفيك سوءات الأمور اجتنابها